name,district,party,type
Katcho Achadjian,35,Republican,Assembly
Luis Alejo,30,Democrat,Assembly
Travis Allen,72,Republican,Assembly
Tom Ammiano,17,Democrat,Assembly
Toni Atkins,78,Democrat,Assembly
Frank Bigelow,5,Republican,Assembly
Richard Bloom,50,Democrat,Assembly
Raul Bocanegra,39,Democrat,Assembly
Susan Bonilla,14,Democrat,Assembly
Rob Bonta,18,Democrat,Assembly
Steven Bradford,62,Democrat,Assembly
Cheryl R. Brown,47,Democrat,Assembly
Joan Buchanan,16,Democrat,Assembly
Ian C. Calderon,57,Democrat,Assembly
Nora Campos,27,Democrat,Assembly
Ed Chau,49,Democrat,Assembly
Wesley Chesbro,2,Democrat,Assembly
Rocky J. Chávez,76,Republican,Assembly
Connie Conway,26,Republican,Assembly
Ken Cooley,8,Democrat,Assembly
Matthew Dababneh,45,Democrat,Assembly
Brian Dahle,1,Republican,Assembly
Tom Daly,69,Democrat,Assembly
Roger Dickinson,7,Democrat,Assembly
Tim Donnelly,33,Republican,Assembly
Susan Talamantes Eggman,13,Democrat,Assembly
Paul Fong,28,Democrat,Assembly
Steve Fox,36,Democrat,Assembly
Jim Frazier,11,Democrat,Assembly
Beth Gaines,6,Republican,Assembly
Cristina Garcia,58,Democrat,Assembly
Mike Gatto,43,Democrat,Assembly
Jimmy Gomez,51,Democrat,Assembly
Lorena Gonzalez,80,Democrat,Assembly
Richard Gordon,24,Democrat,Assembly
Jeff Gorell,44,Republican,Assembly
Adam Gray,21,Democrat,Assembly
Shannon Grove,34,Republican,Assembly
Curt Hagman,55,Republican,Assembly
Isadore Hall,64,Democrat,Assembly
Diane L Harkey,73,Republican,Assembly
Roger Hernández,48,Democrat,Assembly
Chris R. Holden,41,Democrat,Assembly
Brian Jones,71,Republican,Assembly
"Reginald B. Jones-Sawyer, Sr.",59,Democrat,Assembly
Marc Levine,10,Democrat,Assembly
Eric Linder,60,Republican,Assembly
Dan Logue,3,Republican,Assembly
Bonnie Lowenthal,70,Democrat,Assembly
Brian Maienschein,77,Republican,Assembly
Allan Mansoor,74,Republican,Assembly
Jose Medina,61,Democrat,Assembly
Melissa A. Melendez,67,Republican,Assembly
Kevin Mullin,22,Democrat,Assembly
Al Muratsuchi,66,Democrat,Assembly
Adrin Nazarian,46,Democrat,Assembly
Brian Nestande,42,Republican,Assembly
Kristin Olsen,12,Republican,Assembly
Richard Pan,9,Democrat,Assembly
Jim Patterson,23,Republican,Assembly
Henry Perea,31,Democrat,Assembly
John Pérez,53,Democrat,Assembly
V. Manuel Pérez,56,Democrat,Assembly
Bill Quirk,20,Democrat,Assembly
Sharon Quirk-Silva,65,Democrat,Assembly
Anthony Rendon,63,Democrat,Assembly
Sebastian Ridley-Thomas,54,Democrat,Assembly
Freddie Rodriguez,52,Democrat,Assembly
Rudy Salas,32,Democrat,Assembly
Nancy Skinner,15,Democrat,Assembly
Mark Stone,29,Democrat,Assembly
Philip Y. Ting,19,Democrat,Assembly
Donald Wagner,68,Republican,Assembly
Marie Waldron,75,Republican,Assembly
Shirley N. Weber,79,Democrat,Assembly
Bob Wieckowski,25,Democrat,Assembly
Scott Wilk,38,Republican,Assembly
Das Williams,37,Democrat,Assembly
Mariko Yamada,4,Democrat,Assembly